tele_station_oldcode,station_name,tele_station_lat,tele_station_long,area_name,tambon_name,amphoe_name,province_name,agency_name,waterlevel_datetime,waterlevel_m,waterlevel_msl
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 00:00:00+07:00,,0.74
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 00:15:00+07:00,,1.14
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 00:15:00+07:00,,0.56
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 00:30:00+07:00,,0.74
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 00:45:00+07:00,,1.14
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 00:45:00+07:00,,0.56
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 01:15:00+07:00,,1.14
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 01:15:00+07:00,,0.74
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 01:15:00+07:00,,0.55
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 01:45:00+07:00,,0.74
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 01:45:00+07:00,,1.14
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 01:45:00+07:00,,0.55
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 02:00:00+07:00,,0.74
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 02:15:00+07:00,,0.55
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 02:15:00+07:00,,1.14
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 02:45:00+07:00,,0.73
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 02:45:00+07:00,,1.14
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 02:45:00+07:00,,0.55
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 03:15:00+07:00,,0.73
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 03:15:00+07:00,,1.14
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 03:15:00+07:00,,0.54
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 03:45:00+07:00,,0.73
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 03:45:00+07:00,,0.54
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 03:45:00+07:00,,1.14
STN0837,บ้านเล่าชีก๋วย*,20.144605,99.851191,ภาคเหนือ,ป่าตึง,แม่จัน,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 04:00:00+07:00,,0.73
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 04:15:00+07:00,,0.54
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 04:15:00+07:00,,1.14
STN0836,บ้านสามัคคีใหม่*,20.241488,99.766502,ภาคเหนือ,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 04:45:00+07:00,,0.54
STN0029,บ้านแม่สาย (บ้านถ้ำผาจม)*,20.440285,99.873360,ภาคเหนือ,เวียงพางคำ,แม่สาย,เชียงราย,กรมทรัพยากรน้ำ ,2021-10-01 04:45:00+07:00,,1.14
